Closest Stop,Closest Stop Arrival Time,Next Stop,Arrival at Next Stop,Days
UVM Waterman Building,6:42 AM,Maple Street at S Willard Street,6:46 AM,Weekdays
UVM Waterman Building,7:12 AM,Maple Street at S Willard Street,7:16 AM,Weekdays
UVM Waterman Building,7:42 AM,Maple Street at S Willard Street,7:46 AM,Weekdays
UVM Waterman Building,8:12 AM,Maple Street at S Willard Street,8:16 AM,Weekdays
UVM Waterman Building,8:42 AM,Maple Street at S Willard Street,8:46 AM,Weekdays
UVM Waterman Building,9:12 AM,Maple Street at S Willard Street,9:16 AM,Weekdays
UVM Waterman Building,9:42 AM,Maple Street at S Willard Street,9:46 AM,Weekdays
UVM Waterman Building,10:12 AM,Maple Street at S Willard Street,10:16 AM,Weekdays
UVM Waterman Building,10:42 AM,Maple Street at S Willard Street,10:46 AM,Weekdays
UVM Waterman Building,11:12 AM,Maple Street at S Willard Street,11:16 AM,Weekdays
UVM Waterman Building,11:42 AM,Maple Street at S Willard Street,11:46 AM,Weekdays
UVM Waterman Building,12:12 PM,Maple Street at S Willard Street,12:16 PM,Weekdays
UVM Waterman Building,12:42 PM,Maple Street at S Willard Street,12:46 PM,Weekdays
UVM Waterman Building,1:12 PM,Maple Street at S Willard Street,1:16 PM,Weekdays
UVM Waterman Building,1:42 PM,Maple Street at S Willard Street,1:46 PM,Weekdays
UVM Waterman Building,2:12 PM,Maple Street at S Willard Street,2:16 PM,Weekdays
UVM Waterman Building,2:42 PM,Maple Street at S Willard Street,2:46 PM,Weekdays
UVM Waterman Building,3:12 PM,Maple Street at S Willard Street,3:16 PM,Weekdays
UVM Waterman Building,3:42 PM,Maple Street at S Willard Street,3:46 PM,Weekdays
UVM Waterman Building,4:12 PM,Maple Street at S Willard Street,4:16 PM,Weekdays
UVM Waterman Building,4:42 PM,Maple Street at S Willard Street,4:46 PM,Weekdays
UVM Waterman Building,5:12 PM,Maple Street at S Willard Street,5:16 PM,Weekdays
UVM Waterman Building,5:42 PM,Maple Street at S Willard Street,5:46 PM,Weekdays
UVM Waterman Building,6:12 PM,Maple Street at S Willard Street,6:16 PM,Weekdays
UVM Waterman Building,6:42 PM,Maple Street at S Willard Street,6:46 PM,Weekdays
UVM Waterman Building,8:42 AM,Maple Street at S Willard Street,8:46 AM,Sunday
UVM Waterman Building,9:42 AM,Maple Street at S Willard Street,9:46 AM,Sunday
UVM Waterman Building,10:42 AM,Maple Street at S Willard Street,10:46 AM,Sunday
UVM Waterman Building,11:42 AM,Maple Street at S Willard Street,11:46 AM,Sunday
UVM Waterman Building,12:42 PM,Maple Street at S Willard Street,12:46 PM,Sunday
UVM Waterman Building,1:42 PM,Maple Street at S Willard Street,1:46 PM,Sunday
UVM Waterman Building,2:42 PM,Maple Street at S Willard Street,2:46 PM,Sunday
UVM Waterman Building,3:42 PM,Maple Street at S Willard Street,3:46 PM,Sunday
UVM Waterman Building,4:42 PM,Maple Street at S Willard Street,4:46 PM,Sunday
UVM Waterman Building,5:42 PM,Maple Street at S Willard Street,5:46 PM,Sunday
UVM Waterman Building,6:42 PM,Maple Street at S Willard Street,6:46 PM,Sunday
UVM Waterman Building,6:42 AM,Maple Street at S Willard Street,6:46 AM,Saturday
UVM Waterman Building,7:12 AM,Maple Street at S Willard Street,7:16 AM,Saturday
UVM Waterman Building,7:42 AM,Maple Street at S Willard Street,7:46 AM,Saturday
UVM Waterman Building,8:12 AM,Maple Street at S Willard Street,8:16 AM,Saturday
UVM Waterman Building,8:42 AM,Maple Street at S Willard Street,8:46 AM,Saturday
UVM Waterman Building,9:12 AM,Maple Street at S Willard Street,9:16 AM,Saturday
UVM Waterman Building,9:42 AM,Maple Street at S Willard Street,9:46 AM,Saturday
UVM Waterman Building,10:12 AM,Maple Street at S Willard Street,10:16 AM,Saturday
UVM Waterman Building,10:42 AM,Maple Street at S Willard Street,10:46 AM,Saturday
UVM Waterman Building,11:12 AM,Maple Street at S Willard Street,11:16 AM,Saturday
UVM Waterman Building,11:42 AM,Maple Street at S Willard Street,11:46 AM,Saturday
UVM Waterman Building,12:12 PM,Maple Street at S Willard Street,12:16 PM,Saturday
UVM Waterman Building,12:42 PM,Maple Street at S Willard Street,12:46 PM,Saturday
UVM Waterman Building,1:12 PM,Maple Street at S Willard Street,1:16 PM,Saturday
UVM Waterman Building,1:42 PM,Maple Street at S Willard Street,1:46 PM,Saturday
UVM Waterman Building,2:12 PM,Maple Street at S Willard Street,2:16 PM,Saturday
UVM Waterman Building,2:42 PM,Maple Street at S Willard Street,2:46 PM,Saturday
UVM Waterman Building,3:12 PM,Maple Street at S Willard Street,3:16 PM,Saturday
UVM Waterman Building,3:42 PM,Maple Street at S Willard Street,3:46 PM,Saturday
UVM Waterman Building,4:12 PM,Maple Street at S Willard Street,4:16 PM,Saturday
UVM Waterman Building,4:42 PM,Maple Street at S Willard Street,4:46 PM,Saturday
UVM Waterman Building,5:12 PM,Maple Street at S Willard Street,5:16 PM,Saturday
UVM Waterman Building,5:42 PM,Maple Street at S Willard Street,5:46 PM,Saturday
UVM Waterman Building,6:12 PM,Maple Street at S Willard Street,6:16 PM,Saturday
UVM Waterman Building,6:42 PM,Maple Street at S Willard Street,6:46 PM,Saturday
