Closest Stop,Closest Stop Arrival Time,Next Stop,Arrival at Next Stop,Days
UVM Medical Center,6:07 AM,Winooski Falls at Champlain Mill,6:14 AM,Weekdays
UVM Medical Center,6:27 AM,Winooski Falls at Champlain Mill,6:34 AM,Weekdays
UVM Medical Center,6:47 AM,Winooski Falls at Champlain Mill,6:54 AM,Weekdays
UVM Medical Center,7:07 AM,Winooski Falls at Champlain Mill,7:14 AM,Weekdays
UVM Medical Center,7:27 AM,Winooski Falls at Champlain Mill,7:34 AM,Weekdays
UVM Medical Center,7:47 AM,Winooski Falls at Champlain Mill,7:54 AM,Weekdays
UVM Medical Center,8:07 AM,Winooski Falls at Champlain Mill,8:14 AM,Weekdays
UVM Medical Center,8:27 AM,Winooski Falls at Champlain Mill,8:34 AM,Weekdays
UVM Medical Center,8:47 AM,Winooski Falls at Champlain Mill,8:54 AM,Weekdays
UVM Medical Center,9:07 AM,Winooski Falls at Champlain Mill,9:14 AM,Weekdays
UVM Medical Center,9:27 AM,Winooski Falls at Champlain Mill,9:33 AM,Weekdays
UVM Medical Center,9:47 AM,Winooski Falls at Champlain Mill,9:53 AM,Weekdays
UVM Medical Center,10:07 AM,Winooski Falls at Champlain Mill,10:13 AM,Weekdays
UVM Medical Center,10:27 AM,Winooski Falls at Champlain Mill,10:33 AM,Weekdays
UVM Medical Center,10:47 AM,Winooski Falls at Champlain Mill,10:53 AM,Weekdays
UVM Medical Center,11:07 AM,Winooski Falls at Champlain Mill,11:13 AM,Weekdays
UVM Medical Center,11:27 AM,Winooski Falls at Champlain Mill,11:33 AM,Weekdays
UVM Medical Center,11:47 AM,Winooski Falls at Champlain Mill,11:53 AM,Weekdays
UVM Medical Center,12:07 PM,Winooski Falls at Champlain Mill,12:14 PM,Weekdays
UVM Medical Center,12:27 PM,Winooski Falls at Champlain Mill,12:34 PM,Weekdays
UVM Medical Center,12:47 PM,Winooski Falls at Champlain Mill,12:54 PM,Weekdays
UVM Medical Center,1:07 PM,Winooski Falls at Champlain Mill,1:14 PM,Weekdays
UVM Medical Center,1:27 PM,Winooski Falls at Champlain Mill,1:34 PM,Weekdays
UVM Medical Center,1:47 PM,Winooski Falls at Champlain Mill,1:54 PM,Weekdays
UVM Medical Center,2:07 PM,Winooski Falls at Champlain Mill,2:14 PM,Weekdays
UVM Medical Center,2:27 PM,Winooski Falls at Champlain Mill,2:34 PM,Weekdays
UVM Medical Center,2:47 PM,Winooski Falls at Champlain Mill,2:54 PM,Weekdays
UVM Medical Center,3:09 PM,Winooski Falls at Champlain Mill,3:17 PM,Weekdays
UVM Medical Center,3:29 PM,Winooski Falls at Champlain Mill,3:37 PM,Weekdays
UVM Medical Center,3:49 PM,Winooski Falls at Champlain Mill,3:57 PM,Weekdays
UVM Medical Center,4:09 PM,Winooski Falls at Champlain Mill,4:17 PM,Weekdays
UVM Medical Center,4:29 PM,Winooski Falls at Champlain Mill,4:37 PM,Weekdays
UVM Medical Center,4:49 PM,Winooski Falls at Champlain Mill,4:57 PM,Weekdays
UVM Medical Center,5:09 PM,Winooski Falls at Champlain Mill,5:17 PM,Weekdays
UVM Medical Center,5:29 PM,Winooski Falls at Champlain Mill,5:37 PM,Weekdays
UVM Medical Center,5:49 PM,Winooski Falls at Champlain Mill,5:57 PM,Weekdays
UVM Medical Center,6:09 PM,Winooski Falls at Champlain Mill,6:17 PM,Weekdays
UVM Medical Center,6:37 PM,Winooski Falls at Champlain Mill,6:43 PM,Weekdays
UVM Medical Center,7:07 PM,Winooski Falls at Champlain Mill,7:14 PM,Weekdays
UVM Medical Center,8:07 PM,Winooski Falls at Champlain Mill,8:13 PM,Weekdays
UVM Medical Center,9:22 PM,Winooski Falls at Champlain Mill,9:28 PM,Weekdays
UVM Medical Center,10:37 PM,Winooski Falls at Champlain Mill,10:43 PM,Weekdays
UVM Medical Center,9:02 AM,Downtown Transit Center,9:10 AM,Sunday
UVM Medical Center,9:47 AM,Downtown Transit Center,9:55 AM,Sunday
UVM Medical Center,10:32 AM,Downtown Transit Center,10:40 AM,Sunday
UVM Medical Center,11:17 AM,Downtown Transit Center,11:25 AM,Sunday
UVM Medical Center,12:02 PM,Downtown Transit Center,12:10 PM,Sunday
UVM Medical Center,12:47 PM,Downtown Transit Center,12:55 PM,Sunday
UVM Medical Center,1:32 PM,Downtown Transit Center,1:40 PM,Sunday
UVM Medical Center,2:17 PM,Downtown Transit Center,2:25 PM,Sunday
UVM Medical Center,3:02 PM,Downtown Transit Center,3:10 PM,Sunday
UVM Medical Center,3:47 PM,Downtown Transit Center,3:55 PM,Sunday
UVM Medical Center,4:32 PM,Downtown Transit Center,4:40 PM,Sunday
UVM Medical Center,5:17 PM,Downtown Transit Center,5:25 PM,Sunday
UVM Medical Center,6:02 PM,Downtown Transit Center,6:10 PM,Sunday
UVM Medical Center,6:47 PM,Downtown Transit Center,6:55 PM,Sunday
UVM Medical Center,7:32 PM,Downtown Transit Center,7:40 PM,Sunday
UVM Medical Center,6:21 AM,Downtown Transit Center,6:30 AM,Weekdays
UVM Medical Center,6:41 AM,Downtown Transit Center,6:50 AM,Weekdays
UVM Medical Center,7:11 AM,Downtown Transit Center,7:20 AM,Weekdays
UVM Medical Center,7:26 AM,Downtown Transit Center,7:35 AM,Weekdays
UVM Medical Center,7:46 AM,Downtown Transit Center,7:55 AM,Weekdays
UVM Medical Center,8:11 AM,Downtown Transit Center,8:20 AM,Weekdays
UVM Medical Center,8:31 AM,Downtown Transit Center,8:40 AM,Weekdays
UVM Medical Center,8:51 AM,Downtown Transit Center,9:00 AM,Weekdays
UVM Medical Center,9:11 AM,Downtown Transit Center,9:20 AM,Weekdays
UVM Medical Center,9:31 AM,Downtown Transit Center,9:40 AM,Weekdays
UVM Medical Center,9:51 AM,Downtown Transit Center,10:00 AM,Weekdays
UVM Medical Center,10:05 AM,Downtown Transit Center,10:20 AM,Weekdays
UVM Medical Center,10:25 AM,Downtown Transit Center,10:40 AM,Weekdays
UVM Medical Center,10:45 AM,Downtown Transit Center,11:00 AM,Weekdays
UVM Medical Center,11:05 AM,Downtown Transit Center,11:20 AM,Weekdays
UVM Medical Center,11:25 AM,Downtown Transit Center,11:40 AM,Weekdays
UVM Medical Center,11:45 AM,Downtown Transit Center,12:00 PM,Weekdays
UVM Medical Center,12:05 PM,Downtown Transit Center,12:20 PM,Weekdays
UVM Medical Center,12:25 PM,Downtown Transit Center,12:40 PM,Weekdays
UVM Medical Center,12:45 PM,Downtown Transit Center,1:00 PM,Weekdays
UVM Medical Center,1:10 PM,Downtown Transit Center,1:25 PM,Weekdays
UVM Medical Center,1:30 PM,Downtown Transit Center,1:45 PM,Weekdays
