"Downtown Transit Center- A, C, E, G, I",Waterfront,UHC Main Lobby,UVM Medical Center,Kennedy Drive at Timber Lane,Country Park,Burlington International Airport
 6:00 am,6:03 AM,6:12 AM,6:20 AM,6:30 AM,—,6:36 AM
 6:45 am,6:48 AM,6:57 AM,7:05 AM,7:15 AM,—,7:21 AM
 7:30 am,7:33 AM,7:42 AM,7:50 AM,8:00 AM,—,8:06 AM
 8:15 am,8:18 AM,8:27 AM,8:35 AM,8:45 AM,8:48 AM,8:51 AM
 9:00 am,9:03 AM,9:12 AM,9:20 AM,9:30 AM,—,9:36 AM
 9:45 am,9:48 am*,9:57 AM,10:05 AM,10:15 AM,—,10:21 AM
 10:30 am,10:33 AM,10:42 AM,10:50 AM,11:00 AM,—,11:06 AM
 11:15 am,11:18 AM,11:27 AM,11:35 AM,11:45 AM,11:48 AM,11:51 AM
 12:00 pm,12:03 PM,12:12 PM,12:20 PM,12:30 PM,—,12:36 PM
 12:45 pm,12:48 PM,12:57 PM,1:05 PM,1:15 PM,—,1:21 PM
 1:30 pm,1:33 PM,1:42 PM,1:50 PM,2:00 PM,—,2:06 PM
 2:15 pm,2:18 PM,2:27 PM,2:35 PM,2:47 PM,2:50 PM,2:55 PM
 3:00 pm,3:03 PM,3:12 PM,3:20 PM,3:32 PM,—,3:38 PM
 3:45 pm,3:48 PM,3:57 PM,4:05 PM,4:17 PM,—,4:22 PM
 4:30 pm,4:33 PM,4:42 PM,4:50 PM,5:02 PM,5:05 PM,5:10 PM
 5:15 pm,5:18 PM,5:27 PM,5:35 PM,5:45 PM,—,5:51 PM
 6:00 pm,6:03 PM,6:12 PM,6:20 PM,6:30 PM,R,6:36 PM
 6:45 pm,6:48 PM,—,7:05 PM,7:15 PM,—,7:20 PM
 7:30 pm,7:33 PM,—,7:50 PM,8:00 PM,—,8:05 PM
 8:00 pm,8:03 PM,—,8:20 PM,8:30 PM,—,8:35 PM
 9:15 pm,9:18 PM,—,9:35 PM,9:45 PM,—,9:55 PM
 10:30 pm,10:33 pm*,—,10:50 PM,11:00 PM,—,11:05 PM
