Burlington International Airport,Hinesburg Road at,Kennedy Drive at Manor Woods,UVM Medical Center,Waterfront,Downtown Transit Center
,Williston Road,,,,
8:32 AM,8:35 AM,8:37 AM,8:46 AM,8:56 am*, 9:01 am
9:47 AM,9:50 AM,9:52 AM,10:01 AM,10:11 AM, 10:16 am
11:02 AM,11:05 AM,11:07 AM,11:16 AM,11:26 AM, 11:31 am
12:17 PM,12:20 PM,12:22 PM,12:31 PM,12:41 PM, 12:46 pm
1:32 PM,1:35 PM,1:37 PM,1:46 PM,1:56 PM, 2:01 pm
2:47 PM,2:50 PM,2:52 PM,3:01 PM,3:11 PM, 3:16 pm
4:02 PM,4:05 PM,4:07 PM,4:16 PM,4:26 PM, 4:31 pm
5:17 PM,5:20 PM,5:22 PM,5:31 PM,5:41 PM, 5:46 pm
6:32 PM,6:35 PM,6:37 PM,6:46 PM,6:56 PM, 7:01 pm
