"Downtown Transit Center – B, D, F, H, J",North Street at N Union Street,Fern Hill,McAuley Square,UVM Waterman Building,Maple Street at S Willard Street,Battery Street at College Street,Downtown Transit Center
6:30 AM,6:34 AM,6:39 AM,—,6:42 AM,6:46 AM,6:50 AM,6:53 AM
7:00 AM,7:04 AM,—,7:09 AM,7:12 AM,7:16 AM,7:20 AM,7:23 AM
7:30 AM,7:34 AM,7:39 AM,—,7:42 AM,7:46 AM,7:50 AM,7:53 AM
8:00 AM,8:04 AM,—,8:09 AM,8:12 AM,8:16 AM,8:20 AM,8:23 AM
8:30 AM,8:34 AM,8:39 AM,—,8:42 AM,8:46 AM,8:50 AM,8:53 AM
9:00 AM,9:04 AM,—,9:09 AM,9:12 AM,9:16 AM,9:20 AM,9:23 AM
9:30 AM,9:34 AM,9:39 AM,—,9:42 AM,9:46 AM,9:50 AM,9:53 AM
10:00 AM,10:04 AM,—,10:09 AM,10:12 AM,10:16 AM,10:20 AM,10:23 AM
10:30 AM,10:34 AM,10:39 AM,—,10:42 AM,10:46 AM,10:50 AM,10:53 AM
11:00 AM,11:04 AM,—,11:09 AM,11:12 AM,11:16 AM,11:20 AM,11:23 AM
11:30 AM,11:34 AM,11:39 AM,—,11:42 AM,11:46 AM,11:50 AM,11:53 AM
12:00 PM,12:04 PM,—,12:09 PM,12:12 PM,12:16 PM,12:20 PM,12:23 PM
12:30 PM,12:34 PM,12:39 PM,—,12:42 PM,12:46 PM,12:50 PM,12:53 PM
1:00 PM,1:04 PM,—,1:09 PM,1:12 PM,1:16 PM,1:20 PM,1:23 PM
1:30 PM,1:34 PM,1:39 PM,—,1:42 PM,1:46 PM,1:50 PM,1:53 PM
2:00 PM,2:04 PM,—,2:09 PM,2:12 PM,2:16 PM,2:20 PM,2:23 PM
2:30 PM,2:34 PM,2:39 PM,—,2:42 PM,2:46 PM,2:50 PM,2:56 PM
3:00 PM,3:04 PM,—,3:09 PM,3:12 PM,3:16 PM,3:20 PM,3:26 PM
3:30 PM,3:34 PM,3:39 PM,—,3:42 PM,3:46 PM,3:50 PM,3:56 PM
4:00 PM,4:04 PM,—,4:09 PM,4:12 PM,4:16 PM,4:20 PM,4:26 PM
4:30 PM,4:34 PM,4:39 PM,—,4:42 PM,4:46 PM,4:50 PM,4:56 PM
5:00 PM,5:04 PM,—,5:09 PM,5:12 PM,5:16 PM,5:20 PM,5:26 PM
5:30 PM,5:34 PM,5:39 PM,—,5:42 PM,5:46 PM,5:50 PM,5:53 PM
6:00 PM,6:04 PM,—,6:09 PM,6:12 PM,6:16 PM,6:20 PM,6:23 PM
6:30 PM,6:34 PM,6:39 PM,—,6:42 PM,6:46 PM,6:50 PM,6:53 PM
