Amtrak Station,Fort Ethan Allen at Catamount Lane,Saint Michael's College,Spinner Place at Champlain Mill,UVM Medical Center,Downtown Transit Center
6:00 AM,6:07 AM,6:10 AM,6:15 AM,6:21 AM,6:30 AM
6:20 AM,6:27 AM,6:30 AM,6:35 AM,6:41 AM,6:50 AM
6:45 AM,6:55 AM,6:58 AM,7:03 AM,7:11 AM,7:20 AM
7:00 AM,7:10 AM,7:13 AM,7:18 AM,7:26 AM,7:35 AM
7:20 AM,7:30 AM,7:33 AM,7:38 AM,7:46 AM,7:55 AM
7:45 AM,7:55 AM,7:58 AM,8:03 AM,8:11 AM,8:20 AM
8:05 AM,8:15 AM,8:18 AM,8:23 AM,8:31 AM,8:40 AM
8:25 AM,8:35 AM,8:38 AM,8:43 AM,8:51 AM,9:00 AM
8:45 AM,8:55 AM,8:58 AM,9:03 AM,9:11 AM,9:20 AM
9:05 AM,9:15 AM,9:18 AM,9:23 AM,9:31 AM,9:40 AM
9:25 AM,9:35 AM,9:38 AM,9:43 AM,9:51 AM,10:00 AM
9:45 AM,9:50 AM,9:53 AM,9:58 AM,10:05 AM,10:20 AM
10:00 AM,10:10 AM,10:13 AM,10:19 AM,10:25 AM,10:40 AM
10:20 AM,10:30 AM,10:33 AM,10:39 AM,10:45 AM,11:00 AM
10:40 AM,10:50 AM,10:53 AM,10:59 AM,11:05 AM,11:20 AM
11:00 AM,11:10 AM,11:13 AM,11:19 AM,11:25 AM,11:40 AM
11:20 AM,11:30 AM,11:33 AM,11:39 AM,11:45 AM,12:00 PM
11:40 AM,11:50 AM,11:53 AM,11:59 AM,12:05 PM,12:20 PM
12:00 PM,12:10 PM,12:13 PM,12:19 PM,12:25 PM,12:40 PM
12:20 PM,12:30 PM,12:33 PM,12:39 PM,12:45 PM,1:00 PM
12:45 PM,12:55 PM,12:58 PM,1:04 PM,1:10 PM,1:25 PM
1:05 PM,1:15 PM,1:18 PM,1:24 PM,1:30 PM,1:45 PM
1:25 PM,1:35 PM,1:38 PM,1:44 PM,1:50 PM,2:05 PM
1:45 PM,1:55 PM,1:58 PM,2:04 PM,2:10 PM,2:25 PM
2:05 PM,2:15 PM,2:18 PM,2:24 PM,2:30 PM,2:45 PM
2:25 PM,2:35 PM,2:38 PM,2:44 PM,2:50 PM,3:05 PM
2:45 PM,2:55 PM,2:58 PM,4:04 PM,3:10 PM,3:25 PM
3:05 PM,3:15 PM,3:18 PM,3:24 PM,3:30 PM,3:45 PM
3:25 PM,3:35 PM,3:38 PM,3:44 PM,3:50 PM,4:05 PM
3:50 PM,4:00 PM,4:03 PM,4:09 PM,4:15 PM,4:30 PM
4:10 PM,4:20 PM,4:23 PM,4:29 PM,4:35 PM,4:50 PM
4:35 PM,4:45 PM,4:48 PM,4:49 PM,5:00 PM,5:15 PM
4:50 PM,5:00 PM,5:03 PM,5:09 PM,5:15 PM,5:30 PM
5:10 PM,5:20 PM,5:23 PM,5:28 PM,5:36 PM,5:45 PM
5:30 PM,5:40 PM,5:43 PM,5:48 PM,5:56 PM,6:05 PM
5:50 PM,6:00 PM,6:03 PM,6:08 PM,6:16 PM,6:25 PM
6:10 PM,6:20 PM,6:23 PM,6:28 PM,6:36 PM,6:45 PM
6:30 PM,6:40 PM,6:43 PM,6:48 PM,6:56 PM,7:05 PM
6:50 PM,6:57 PM,7:00 PM,7:05 PM,7:11 PM,7:20 PM
7:10 PM,7:17 PM,7:20 PM,7:25 PM,7:31 PM,7:40 PM
7:45 PM,7:52 PM,7:55 PM,8:00 PM,8:06 PM,8:15 PM
8:40 pm*,8:47 PM,8:50 PM,8:55 PM,9:01 PM,9:10 PM
9:55 PM,10:02 PM,10:05 PM,10:10 PM,10:16 PM,10:25 PM
11:10 PM,11:17 PM,11:20 PM,11:25 PM,11:31 PM,11:40 PM
