"Downtown Transit Center - B, D, F, H, J",UVM Medical Center,Winooski Falls at Champlain Mill,Saint Michael’s College,Fort Ethan Allen at Catamount Lane,Amtrak Station
6:30 AM,6:37 AM,6:43 AM,6:46 AM,6:51 AM,7:00 AM
7:00 AM,7:07 AM,7:13 AM,7:16 AM,7:21 AM,7:30 AM
7:30 AM,7:37 AM,7:43 AM,7:46 AM,7:51 AM,8:00 AM
8:00 AM,8:07 AM,8:13 AM,8:16 AM,8:21 AM,8:30 AM
8:30 AM,8:37 AM,8:43 AM,8:46 AM,8:51 AM,9:00 AM
9:00 AM,9:07 AM,9:13 AM,9:16 AM,9:21 AM,9:30 AM
9:30 AM,9:37 AM,9:43 AM,9:46 AM,9:51 AM,10:00 AM
10:00 AM,10:07 AM,10:13 AM,10:16 AM,10:21 AM,10:30 AM
10:30 AM,10:37 AM,10:43 AM,10:46 AM,10:51 AM,11:00 AM
11:00 AM,11:07 AM,11:13 AM,11:16 AM,11:21 AM,11:30 AM
11:30 AM,11:37 AM,11:43 AM,11:46 AM,11:51 AM,12:00 PM
12:00 PM,12:07 PM,12:13 PM,12:16 PM,12:21 PM,12:30 PM
12:30 PM,12:37 PM,12:43 PM,12:46 PM,12:51 PM,1:00 PM
1:00 PM,1:07 PM,1:13 PM,1:16 PM,1:21 PM,1:30 PM
1:30 PM,1:37 PM,1:43 PM,1:46 PM,1:51 PM,2:00 PM
2:00 PM,2:07 PM,2:13 PM,2:16 PM,2:21 PM,2:30 PM
2:30 PM,2:37 PM,2:43 PM,2:46 PM,2:51 PM,3:00 PM
3:00 PM,3:07 PM,3:13 PM,3:16 PM,3:21 PM,3:30 PM
3:30 PM,3:37 PM,3:43 PM,3:46 PM,3:51 PM,4:00 PM
4:00 PM,4:07 PM,4:13 PM,4:16 PM,4:21 PM,4:30 PM
4:30 PM,4:37 PM,4:43 PM,4:46 PM,4:51 PM,5:00 PM
5:00 PM,5:07 PM,5:13 PM,5:16 PM,5:21 PM,5:30 PM
5:30 PM,5:37 PM,5:43 PM,5:46 PM,5:51 PM,6:00 PM
6:00 PM,6:07 PM,6:13 PM,6:16 PM,6:21 PM,6:30 PM
6:30 PM,6:37 PM,6:43 PM,6:46 PM,6:51 PM,7:00 PM
7:00 PM,7:07 PM,7:13 PM,7:16 PM,7:21 PM,7:35 PM
8:00 PM,8:07 PM,8:13 PM,8:16 PM,8:21 PM,8:30 PM
9:15 PM,9:22 PM,9:28 PM,9:31 PM,9:36 PM,9:45 PM
10:30 PM,10:37 PM,10:43 PM,10:46 PM,10:51 PM,11:00 PM
