Amtrak Station, Fort Ethan Allen at Catamount Lane,Saint Michael's College,Spinner Place at Champlain Mill,UVM Medical Center,Downtown Transit Center
8:40 AM,8:47 AM,8:50 AM,8:55 AM,9:02 AM,9:10 AM
9:25 AM,9:32 AM,9:35 AM,9:40 AM,9:47 AM,9:55 AM
10:10 AM,10:17 AM,10:20 AM,10:25 AM,10:32 AM,10:40 AM
10:55 AM,11:02 AM,11:05 AM,11:10 AM,11:17 AM,11:25 AM
11:40 AM,11:47 AM,11:50 AM,11:55 AM,12:02 PM,12:10 PM
12:25 PM,12:32 PM,12:35 PM,12:40 PM,12:47 PM,12:55 PM
1:10 PM,1:17 PM,1:20 PM,1:25 PM,1:32 PM,1:40 PM
1:55 PM,2:02 PM,2:05 PM,2:10 PM,2:17 PM,2:25 PM
2:40 PM,2:47 PM,2:50 PM,2:55 PM,3:02 PM,3:10 PM
3:25 PM,3:32 PM,3:35 PM,3:40 PM,3:47 PM,3:55 PM
4:10 PM,4:17 PM,4:20 PM,4:25 PM,4:32 PM,4:40 PM
4:55 PM,5:02 PM,5:05 PM,5:10 PM,5:17 PM,5:25 PM
5:40 PM,5:47 PM,5:50 PM,5:55 PM,6:02 PM,6:10 PM
6:25 PM,6:32 PM,6:35 PM,6:40 PM,6:47 PM,6:55 PM
7:10 PM,7:17 PM,7:20 PM,7:25 PM,7:32 PM,7:40 PM
