Walmart,Williston Road at Kennedy Drive,University Mall,University Heights,Downtown Transit Center
8:40 AM,8:48 AM,8:56 AM,9:03 AM,9:15 AM
9:25 AM,9:33 AM,9:41 AM,9:48 AM,10:00 AM
10:10 AM,10:18 AM,10:26 AM,10:33 AM,10:45 AM
10:55 AM,11:03 AM,11:11 AM,11:18 AM,11:30 AM
11:40 AM,11:48 AM,11:56 AM,12:03 PM,12:15 PM
12:25 PM,12:33 PM,12:41 PM,12:48 PM,1:00 PM
1:10 PM,1:18 PM,1:26 PM,1:33 PM,1:45 PM
1:55 PM,2:03 PM,2:11 PM,2:18 PM,2:30 PM
2:40 PM,2:48 PM,2:56 PM,3:03 PM,3:15 PM
3:25 PM,3:33 PM,3:41 PM,3:48 PM,4:00 PM
4:10 PM,4:18 PM,4:26 PM,4:33 PM,4:45 PM
4:55 PM,5:03 PM,5:11 PM,5:18 PM,5:30 PM
5:40 PM,5:48 PM,5:56 PM,6:03 PM,6:15 PM
6:25 PM,6:33 PM,6:41 PM,6:48 PM,7:00 PM
7:10 PM,7:18 PM,7:26 PM,7:33 PM,7:45 PM
