"Downtown Transit Center – A, C, E, G, I",University Heights,University Mall,Williston Road at Kennedy Drive,Walmart
8:00 AM,8:06 AM,8:12 AM,8:20 AM,8:30 AM
8:45 AM,8:51 AM,8:57 AM,9:05 AM,9:15 AM
9:30 AM,9:36 AM,9:42 AM,9:50 AM,10:00 AM
10:15 AM,10:21 AM,10:27 AM,10:35 AM,10:45 AM
11:00 AM,11:06 AM,11:12 AM,11:20 AM,11:30 AM
11:45 AM,11:51 AM,11:57 AM,12:05 PM,12:15 PM
12:30 PM,12:36 PM,12:42 PM,12:50 PM,1:00 PM
1:15 PM,1:21 PM,1:27 PM,1:35 PM,1:45 PM
2:00 PM,2:06 PM,2:12 PM,2:20 PM,2:30 PM
2:45 PM,2:51 PM,2:57 PM,3:05 PM,3:15 PM
3:30 PM,3:36 PM,3:42 PM,3:50 PM,4:00 PM
4:15 PM,4:21 PM,4:27 PM,4:35 PM,4:45 PM
5:00 PM,5:06 PM,5:12 PM,5:20 PM,5:30 PM
5:45 PM,5:51 PM,5:57 PM,6:05 PM,6:15 PM
6:30 PM,6:36 PM,6:42 PM,6:50 PM,7:00 PM
